timestamp,underlying,type,strike,expiry,last,bid,ask,volume,oi,iv,delta,gamma,theta,vega
20251212 20:16,AAPL,call,130.0,2025-12-19,147.05,0.0,0.0,7.0,871,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,130.0,2025-12-19,0.01,0.0,0.0,3.0,3393,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,135.0,2025-12-19,141.33,0.0,0.0,1.0,753,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,135.0,2025-12-19,0.01,0.0,0.0,2.0,735,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,140.0,2025-12-19,136.36,0.0,0.0,3.0,1434,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,140.0,2025-12-19,0.01,0.0,0.0,201.0,2862,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,145.0,2025-12-19,132.75,0.0,0.0,1.0,858,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,145.0,2025-12-19,0.03,0.0,0.0,1.0,3308,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,150.0,2025-12-19,126.89,0.0,0.0,6.0,1513,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,150.0,2025-12-19,0.01,0.0,0.0,1.0,10919,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,155.0,2025-12-19,124.3,0.0,0.0,2.0,830,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,155.0,2025-12-19,0.01,0.0,0.0,45.0,3729,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,160.0,2025-12-19,117.8,0.0,0.0,14.0,1235,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,160.0,2025-12-19,0.01,0.0,0.0,8.0,5977,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,165.0,2025-12-19,113.05,0.0,0.0,20.0,2432,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,165.0,2025-12-19,0.01,0.0,0.0,3.0,11561,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,170.0,2025-12-19,105.59,0.0,0.0,2.0,3898,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,170.0,2025-12-19,0.06,0.0,0.0,62.0,14852,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,175.0,2025-12-19,103.52,0.0,0.0,2.0,1662,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,175.0,2025-12-19,0.01,0.0,0.0,5.0,10589,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,180.0,2025-12-19,98.37,0.0,0.0,56.0,15979,1.0000000000000003e-05,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,put,180.0,2025-12-19,0.01,0.0,0.0,70.0,12821,0.500005,0.0,0.0,0.0,0.0
20251212 20:16,AAPL,call,185.0,2025-12-19,92.04,0.0,0.0,21.0,2442,1.0000000000000003e-05,0.0,0.0,0.0,0.0
